artistid,artistname
50000,betty blowtorch
49999,die Ärzte
49998,melissa etheridge
49997,elvenking
49996,juliette & the licks
49995,red hot chili peppers
49994,magica
49993,the black dahlia murder
49992,the murmurs
49991,lunachicks
49990,walls of jericho
49989,letzte instanz
49988,goldfrapp
49987,horrorpops
49986,the butchies
49985,jack off jill
49984,babes in toyland
49983,dropkick murphys
49982,all:my:faults
49981,le tigre
49980,schandmaul
49979,edguy
49978,maximum the hormone
49977,all ends
49976,jack johnson
49975,eluveitie
49974,rasputina
49973,london after midnight
49972,the killers
49971,mutyumu
49970,judas priest
49969,rob zombie
49968,the bosshoss
49967,blue Öyster cult
49966,sandra nasic
49965,john mayer
49964,sleater-kinney
49963,the who
49962,disciple
49961,tanzwut
49960,guano apes
49959,the rolling stones
49958,little big town
49957,team dresch
49956,betty
49955,l7
49954,bif naked
49953,girlschool
49952,the wallflowers
49951,the most serene republic
49950,stars
49949,broken social scene
49948,have heart
49947,luminous orange
49946,boris
49945,arctic monkeys
49944,bright eyes
49943,coaltar of the deepers
49942,polar bear club
49941,the libertines
49940,death from above 1979
49939,owl city
49938,coldplay
49937,okkervil river
49936,jim sturgess
49935,deerhoof
49934,fear before the march of flames
49933,breathe carolina
49932,mstrkrft
49931,arcade fire
49930,the strokes
49929,cancer bats
49928,the honorary title
49927,michio kurihara
49926,mgmt
49925,queen
49924,the secret handshake
49923,animal collective
49922,heavy heavy low low
49921,hot hot heat
49920,hadouken!
49919,the wombats
49918,ai aso
49917,boris with michio kurihara
49916,uffie
49915,the last shadow puppets
49914,boys noize
49913,built to spill
49912,nujabes
49911,the rocket summer
49910,little dragon
49909,boris with merzbow
49908,the album leaf
49907,the microphones
49906,simian mobile disco
49905,m.i.a.
49904,death cab for cutie
49903,patrick wolf
49902,the fiery furnaces
49901,digitalism
49900,current 93
49899,coil
49898,andrew liles
49897,six organs of admittance
49896,16 horsepower
49895,angels of light
49894,the legendary pink dots
49893,charalambides
49892,festival
49891,fern knight
49890,nick cave & the bad seeds
49889,fovea hex
49888,amanda rogers
49887,lux interna
49886,nalle
49885,antony and the johnsons
49884,marissa nadler
49883,a silver mt. zion
49882,einstürzende neubauten
49881,marc almond
49880,mariee sioux
49879,björk
49878,bill fay
49877,nurse with wound
49876,baby dee
49875,ghq
49874,daniel higgs
49873,flairck
49872,jack rose
49871,castanets
49870,john jacob niles
49869,the revolutionary army of the infant jesus
49868,carter tutti
49867,the one ensemble
49866,orion rigel dommisse
49865,jocelyn pook
49864,matmos
49863,ulver
49862,ane brun
49861,soisong
49860,a hawk and a hacksaw
49859,frank london
49858,michael gira
49857,larkin grimm
49856,pelt
49855,jean parlette
49854,opeth
49853,cannibal corpse
49852,elis
49851,amoral
49850,amon amarth
49849,riverside
49848,dark tranquillity
49847,atrocity
49846,kromlek
49845,kamelot
49844,novembers doom
49843,poe
49842,14
49841,dido
49840,stone temple pilots
49839,audioslave
49838,katatonia
49837,ark
49836,circus maximus
49835,dimmu borgir
49834,death
49833,månegarm
49832,cynic
49831,korpiklaani
49830,my dying bride
49829,brujeria
49828,agalloch
49827,alice in chains
49826,johann sebastian bach
49825,kalmah
49824,farmakon
49823,children of bodom
49822,dragonforce
49821,dredg
49820,green carnation
49819,pain of salvation
49818,rhapsody of fire
49817,the mars volta
49816,tool
49815,arch enemy
49814,at the gates
49813,compay segundo
49812,ensiferum
49811,naglfar
49810,nevermore
49809,old mans child
49808,shade empire
49807,system of a down
49806,tristania
49805,devendra banhart
49804,boards of canada
49803,cocorosie
49802,aphex twin
49800,atmosphere
49799,joanna newsom
49798,air
49797,portishead
49796,massive attack
49793,plaid
49792,fog
49791,prefuse 73
49790,m83
49789,the flashbulb
49788,pavement
49786,amon tobin
49785,sage francis
49784,four tet
49783,brother ali
49782,max richter
49781,why?
49780,autechre
49779,radiohead
49778,susumu yokota
49777,electrelane
49776,neutral milk hotel
49775,bent
49774,vetiver
49773,k-the-i???
49771,illogic
49770,annie
49769,broadcast
49768,beastie boys
49767,aesop rock
49766,mf doom
49765,the books
49764,bibio
49763,rachel's
49762,architecture in helsinki
49761,bola
49760,isan
49759,67
49758,múm
49757,elliott smith
49756,caribou
49754,the hold steady
49753,mogwai
49751,justice
